Iteration,A* Time (seconds),A* Memory (MB),Bidirectional Time (seconds),Bidirectional Memory (MB)
181,0.003064870834350586,0.000128,0.0017421245574951172,0.00016
182,0.0036406517028808594,0.000192,0.001817941665649414,0.00016
183,0.0017020702362060547,0.000128,0.0009119510650634766,0.000128
184,6.556510925292969e-05,3.2e-05,5.888938903808594e-05,3.2e-05
185,0.00016355514526367188,3.2e-05,9.226799011230469e-05,3.2e-05
186,0.0006494522094726562,6.4e-05,0.0002777576446533203,9.6e-05
187,0.0040013790130615234,0.009158,0.0020360946655273438,0.001081
188,0.007285118103027344,0.000128,0.003842592239379883,0.000128
189,0.003087759017944336,0.000128,0.0015811920166015625,0.00016
190,0.0032913684844970703,0.000128,0.0019071102142333984,0.00016
191,0.009273529052734375,0.002208,0.0024602413177490234,0.000384
192,0.005685329437255859,0.000576,0.0024580955505371094,0.000384
193,0.005084514617919922,0.000384,0.0024979114532470703,0.007728
194,0.0069789886474609375,0.00241,0.0024726390838623047,0.000384
195,0.009746313095092773,0.002144,0.0023283958435058594,0.000192
196,0.007816791534423828,0.001968,0.004811286926269531,0.000192
197,0.009055137634277344,0.000512,0.0022420883178710938,0.000192
198,0.004706144332885742,0.005797,0.0015902519226074219,0.001127
199,0.0022318363189697266,0.000256,0.0018393993377685547,0.000288
200,0.003682851791381836,0.000681,0.004211902618408203,0.000128
201,0.005860567092895508,0.000128,0.0025353431701660156,0.000128
202,0.006094217300415039,0.001024,0.0025055408477783203,0.000384
203,0.0021414756774902344,0.000128,0.0015933513641357422,0.000128
204,0.006003141403198242,0.000448,0.002576589584350586,0.000384
205,0.0047168731689453125,0.000192,0.002496004104614258,0.000352
206,0.0033164024353027344,0.000128,0.002454519271850586,0.000128
207,0.0034935474395751953,0.008833,0.0036308765411376953,0.001287
208,0.004645109176635742,0.001326,0.0026404857635498047,0.000339
209,0.0002834796905517578,3.2e-05,0.0002067089080810547,6.4e-05
210,0.008995532989501953,0.002096,0.002310514450073242,0.000224
211,0.0024690628051757812,0.000128,0.0018534660339355469,0.000128
212,0.0030307769775390625,0.000128,0.00168609619140625,0.00016
213,0.008202552795410156,0.002272,0.0023603439331054688,0.000192
214,0.008535146713256836,0.001904,0.0022115707397460938,0.000224
215,0.0035581588745117188,0.005201,0.003553628921508789,0.000713
216,0.004981279373168945,0.000128,0.0016894340515136719,0.000128
217,0.00493931770324707,0.000192,0.0026280879974365234,0.000352
218,0.004903316497802734,0.000192,0.0024900436401367188,0.000352
219,0.0029010772705078125,0.000128,0.0024449825286865234,0.000128
220,0.0037412643432617188,0.000128,0.0016999244689941406,0.00016
221,0.008292198181152344,0.001712,0.0004372596740722656,0.0
222,0.00833892822265625,0.002472,0.00048160552978515625,0.0
223,0.0012748241424560547,0.000562,0.0010039806365966797,9.6e-05
224,0.0031783580780029297,6.4e-05,0.0006175041198730469,9.6e-05
225,0.00972747802734375,0.001712,0.00044798851013183594,0.0
226,0.002572774887084961,0.000128,0.0017924308776855469,0.000128
227,0.00940847396850586,0.001712,9.393692016601562e-05,0.0
228,0.005498170852661133,0.000512,0.002512693405151367,0.000352
229,0.005695819854736328,0.000576,0.002447843551635742,0.000384
230,0.0019741058349609375,0.00812,0.0008080005645751953,0.000128
231,0.0035452842712402344,0.000256,0.0009844303131103516,0.000224
232,0.0031054019927978516,0.000256,0.002381563186645508,0.000681
233,0.003256559371948242,0.000128,0.0018532276153564453,0.00016
234,0.003869295120239258,0.000192,0.0017626285552978516,0.00016
235,0.003877401351928711,0.000192,0.0018563270568847656,0.00016
236,0.003412485122680664,0.000192,0.0017883777618408203,0.00016
237,0.0033011436462402344,0.000128,0.0017838478088378906,0.00016
238,0.0038590431213378906,0.000192,0.0018248558044433594,0.00016
239,0.006403446197509766,0.001304,0.002628326416015625,0.000352
240,0.008348941802978516,0.008212,0.0024023056030273438,0.000352
241,0.004400730133056641,0.000681,0.002234220504760742,0.000128
242,0.004198551177978516,0.000128,0.0020990371704101562,0.000128
243,0.00414276123046875,0.000128,0.0019576549530029297,0.000128
244,0.003161191940307617,0.000128,0.0018973350524902344,0.00016
245,0.0037555694580078125,0.000128,0.001984119415283203,0.000128
246,0.00539708137512207,0.000448,0.0024368762969970703,0.00016
247,0.004998922348022461,0.000192,0.0023708343505859375,0.000192
248,0.005266427993774414,0.005612,0.0021257400512695312,0.000192
249,0.005118131637573242,0.000192,0.0024480819702148438,0.000192
250,0.008217334747314453,0.001992,0.0022573471069335938,0.000192
251,0.009083747863769531,0.00324,9.298324584960938e-05,0.0
252,0.0005769729614257812,3.2e-05,0.0002894401550292969,6.4e-05
253,1.8358230590820312e-05,3.2e-05,1.3589859008789062e-05,3.2e-05
254,0.0004024505615234375,6.4e-05,0.0002205371856689453,9.6e-05
255,0.0005087852478027344,3.2e-05,0.00021767616271972656,3.2e-05
256,0.0006945133209228516,3.2e-05,0.0002617835998535156,6.4e-05
257,9.608268737792969e-05,3.2e-05,8.058547973632812e-05,3.2e-05
258,0.0004017353057861328,3.2e-05,0.0001342296600341797,3.2e-05
259,0.0004265308380126953,3.2e-05,0.00022268295288085938,3.2e-05
260,0.00014400482177734375,3.2e-05,5.5789947509765625e-05,3.2e-05
261,0.001474618911743164,6.4e-05,0.0006978511810302734,0.000128
262,6.0558319091796875e-05,3.2e-05,7.43865966796875e-05,3.2e-05
263,0.001577138900756836,6.4e-05,0.0008442401885986328,0.000128
264,0.0015594959259033203,0.000128,0.001085519790649414,0.000128
265,0.009042501449584961,0.004154,0.0005214214324951172,0.0
266,0.002246379852294922,6.4e-05,0.00041937828063964844,9.6e-05
267,0.009766578674316406,0.00324,0.00019025802612304688,0.0
268,0.017245054244995117,0.00352,0.006494283676147461,0.001216
269,0.006967067718505859,0.000448,0.004448413848876953,0.001024
270,0.006711483001708984,0.000128,0.004830598831176758,0.00016
271,0.0045566558837890625,0.000128,0.004497528076171875,0.000128
272,0.0073010921478271484,0.003288,0.0020411014556884766,0.000192
273,0.0031948089599609375,0.000128,0.001964092254638672,0.000128
274,0.004808902740478516,0.000448,0.002349376678466797,0.000192
275,0.0020389556884765625,0.000128,0.0015146732330322266,0.000128
276,0.002379894256591797,0.000128,0.0013887882232666016,9.6e-05
277,0.004660129547119141,0.000626,0.0012111663818359375,0.000128
278,0.00034332275390625,3.2e-05,0.00014352798461914062,3.2e-05
279,0.0011591911315917969,6.4e-05,0.0006148815155029297,9.6e-05
280,0.008260488510131836,0.003544,0.002022266387939453,0.00016
281,0.007331371307373047,0.003944,0.002115011215209961,0.00016
282,0.00028228759765625,3.2e-05,0.0002391338348388672,6.4e-05
283,0.00018644332885742188,3.2e-05,9.202957153320312e-05,3.2e-05
284,0.00021147727966308594,3.2e-05,0.00010895729064941406,3.2e-05
285,0.0003159046173095703,3.2e-05,0.00013113021850585938,6.4e-05
286,0.0007576942443847656,6.4e-05,0.0003352165222167969,9.6e-05
287,0.009019613265991211,0.00336,0.0031387805938720703,0.001376
288,0.008812189102172852,0.013761,0.0030357837677001953,0.002375
289,0.009708166122436523,0.00332,0.0031516551971435547,0.001376
290,0.002577066421508789,0.000128,0.0019555091857910156,0.000128
291,0.0035114288330078125,0.000448,0.0020325183868408203,0.00016
292,0.008661508560180664,0.003184,0.003003358840942383,0.001344
293,0.007180690765380859,0.003816,0.0021486282348632812,0.00016
294,0.0065042972564697266,0.008097,0.0019779205322265625,0.000288
295,0.009530067443847656,0.00332,0.0030264854431152344,0.001344
296,0.007279634475708008,0.003928,0.003200054168701172,0.001312
297,0.00141143798828125,6.4e-05,0.0005052089691162109,0.000128
298,0.009330034255981445,0.00324,0.00033354759216308594,0.0
299,0.009294748306274414,0.00324,0.00032329559326171875,0.0
300,0.009199142456054688,0.008013,0.00034809112548828125,0.0
301,0.007981300354003906,0.003913,0.002744436264038086,0.000864
302,0.006711006164550781,0.003824,0.002689838409423828,0.000864
303,0.004329204559326172,0.000576,0.0028700828552246094,0.000608
304,0.009257793426513672,0.00324,0.0004551410675048828,0.0
305,0.009246587753295898,0.009403,0.0004668235778808594,0.0
306,0.005053520202636719,0.000681,0.0033195018768310547,0.000544
307,0.005583047866821289,0.00064,0.0026807785034179688,0.000544
308,0.0017385482788085938,0.000128,0.0012106895446777344,0.000128
309,0.0007371902465820312,6.4e-05,0.0004742145538330078,9.6e-05
310,0.0008921623229980469,6.4e-05,0.00038242340087890625,9.6e-05
311,0.0011646747589111328,6.4e-05,0.0006740093231201172,9.6e-05
312,0.0026335716247558594,0.000128,0.0014960765838623047,0.000128
313,0.002298593521118164,0.000128,0.0012898445129394531,0.00016
314,0.002013683319091797,0.000128,0.0010547637939453125,0.000128
315,0.002351522445678711,0.000128,0.0012552738189697266,9.6e-05
316,0.006802558898925781,0.003272,0.002650022506713867,0.001159
317,0.005896091461181641,0.0026,0.001886606216430664,0.000288
318,0.006430864334106445,0.00064,0.00449681282043457,0.00016
319,0.014646291732788086,0.003824,0.001905202865600586,0.00016
320,0.008697748184204102,0.003296,0.003044605255126953,0.001344
321,0.008890151977539062,0.003408,0.003432750701904297,0.001344
322,0.009949207305908203,0.003649,0.003374814987182617,0.001216
323,0.0037953853607177734,0.000512,0.0023698806762695312,0.00016
324,0.002487659454345703,0.000128,0.0024132728576660156,0.00016
325,0.004427909851074219,0.000512,0.002845287322998047,0.000384
326,0.0032002925872802734,0.000128,0.0021157264709472656,0.000128
327,0.005907535552978516,0.002872,0.001985311508178711,0.00016
328,0.001809835433959961,0.000128,0.0012166500091552734,0.000128
329,0.006257772445678711,0.002328,0.0019073486328125,0.00016
330,0.0037178993225097656,0.000448,0.0020456314086914062,0.000128
331,0.002093076705932617,0.000128,0.0014832019805908203,0.00016
332,0.002198934555053711,0.000128,0.001623392105102539,0.00016
333,0.0037813186645507812,0.000512,0.002073049545288086,0.000128
334,0.0008885860443115234,3.2e-05,0.0002970695495605469,6.4e-05
335,0.009226799011230469,0.003336,0.003335714340209961,0.001376
336,0.0031385421752929688,0.000128,0.0019197463989257812,9.6e-05
337,0.0039043426513671875,0.000512,0.0021576881408691406,0.008646
338,0.009420394897460938,0.003665,0.004962444305419922,0.001344
339,0.009623527526855469,0.003432,0.0033609867095947266,0.001376
340,0.004597902297973633,0.000448,0.0021817684173583984,0.00016
341,0.007606983184814453,0.004144,0.0022187232971191406,0.000128
342,0.0042421817779541016,0.000512,0.0018887519836425781,0.004235
343,0.004745006561279297,0.000681,0.0020599365234375,0.000128
344,0.002023935317993164,0.000128,0.0015306472778320312,0.00016
345,0.0033676624298095703,0.000128,0.0012691020965576172,9.6e-05
346,0.00924992561340332,0.00324,0.0005755424499511719,0.0
347,0.009116411209106445,0.00324,0.0005373954772949219,0.0
348,0.0021867752075195312,6.4e-05,0.00098419189453125,9.6e-05
349,0.0028533935546875,6.4e-05,0.001226186752319336,9.6e-05
350,0.009229183197021484,0.00396,0.0004782676696777344,0.0
351,0.0031070709228515625,0.00101,0.002249479293823242,0.000128
352,0.012387752532958984,0.00324,0.00010704994201660156,0.0
353,0.005240917205810547,0.00096,0.0042095184326171875,0.000128
354,0.005354881286621094,0.001456,0.002411365509033203,0.00016
355,0.0015742778778076172,0.000128,0.0005471706390380859,0.000128
356,0.0018048286437988281,0.000128,0.0007340908050537109,0.000128
357,0.007303714752197266,0.005679,0.002412557601928711,0.00032
358,0.004098176956176758,0.00101,0.004771709442138672,0.00016
359,0.004812479019165039,0.000768,0.0021948814392089844,0.00016
360,0.005007266998291016,0.001152,0.002172231674194336,0.00016
361,0.00411224365234375,0.000512,0.002122163772583008,0.00016
362,0.00407099723815918,0.000448,0.002119302749633789,0.00016
363,0.004973649978637695,0.001216,0.0021944046020507812,0.00016
364,0.006132364273071289,0.00288,0.0019845962524414062,0.000192
365,0.010201454162597656,0.003641,0.006774187088012695,0.001376
366,0.005082130432128906,0.001456,0.002588033676147461,0.000608
367,0.01308751106262207,0.002824,0.0026853084564208984,0.000768
368,0.005602598190307617,0.002344,0.002648591995239258,0.000873
369,0.00408172607421875,0.000448,0.0026814937591552734,0.000544
370,0.0045318603515625,0.000448,0.002609729766845703,0.000608
371,0.00794529914855957,0.003672,0.002794027328491211,0.000992
372,0.007632255554199219,0.00352,0.002835988998413086,0.00112
373,0.007870674133300781,0.003736,0.0028057098388671875,0.005512
374,0.00918722152709961,0.00352,0.002874135971069336,0.00112
375,0.008517265319824219,0.00332,0.003024578094482422,0.001344
376,0.023040056228637695,0.002872,0.00010776519775390625,0.0
377,0.0008945465087890625,6.4e-05,0.0005280971527099609,0.000128
378,0.00027561187744140625,6.4e-05,0.000171661376953125,9.6e-05
379,1.1682510375976562e-05,3.2e-05,1.1205673217773438e-05,3.2e-05
380,0.0003495216369628906,6.4e-05,0.00022482872009277344,9.6e-05
381,0.0004138946533203125,3.2e-05,6.365776062011719e-05,3.2e-05
382,0.0008451938629150391,6.4e-05,0.0006041526794433594,6.4e-05
383,0.0009667873382568359,6.4e-05,0.0004429817199707031,6.4e-05
384,0.0006623268127441406,6.4e-05,0.00020694732666015625,0.010065
385,0.000476837158203125,6.4e-05,0.0006470680236816406,6.4e-05
386,0.00335693359375,6.4e-05,0.0005540847778320312,9.6e-05
387,0.00014543533325195312,3.2e-05,0.0001647472381591797,6.4e-05
388,0.0017895698547363281,6.4e-05,0.0003266334533691406,6.4e-05
389,0.0016155242919921875,6.4e-05,0.0006666183471679688,9.6e-05
390,0.010006189346313477,0.002872,0.0005013942718505859,0.0
391,0.0003616809844970703,3.2e-05,0.00013303756713867188,3.2e-05
392,0.010097026824951172,0.002872,0.00010037422180175781,0.0
393,0.009055376052856445,0.00304,0.0030517578125,0.001312
394,0.004737138748168945,0.002904,0.002343893051147461,0.000594
395,0.00902557373046875,0.000768,0.002176523208618164,0.000128
396,0.0029723644256591797,6.4e-05,0.001699686050415039,9.6e-05
397,0.01180887222290039,0.002256,0.0020279884338378906,0.00016
398,0.00273895263671875,0.000128,0.001622915267944336,0.000128
399,0.0037686824798583984,0.000128,0.0019235610961914062,0.00016
400,0.0020792484283447266,0.000128,0.0010051727294921875,0.000128
401,0.0017931461334228516,6.4e-05,0.00099945068359375,9.6e-05
402,0.0025014877319335938,6.4e-05,0.001165151596069336,9.6e-05
403,0.0006012916564941406,6.4e-05,0.0005042552947998047,6.4e-05
404,0.0011012554168701172,3.2e-05,0.0004417896270751953,0.009772
405,0.00876927375793457,0.00353,0.001972198486328125,0.000128
406,0.007038593292236328,0.002744,0.002066373825073242,0.000128
407,7.963180541992188e-05,3.2e-05,6.198883056640625e-05,3.2e-05
408,9.226799011230469e-05,3.2e-05,9.250640869140625e-05,3.2e-05
409,0.00021576881408691406,6.4e-05,0.00017881393432617188,9.6e-05
410,0.00023436546325683594,6.4e-05,0.00022721290588378906,9.6e-05
411,0.00017905235290527344,3.2e-05,5.817413330078125e-05,3.2e-05
412,0.009876728057861328,0.002912,0.0030999183654785156,0.001344
413,0.009995698928833008,0.002952,0.0030493736267089844,0.002025
414,0.01584935188293457,0.003064,0.004315853118896484,0.001344
415,0.005002021789550781,0.000128,0.0032525062561035156,9.6e-05
416,0.006783962249755859,0.002032,0.0020046234130859375,0.000128
417,0.01029658317565918,0.00284,0.0030868053436279297,0.001312
418,0.018622398376464844,0.00353,0.0021653175354003906,0.000128
419,0.014053106307983398,0.002264,0.00410771369934082,0.000128
420,0.009717941284179688,0.002976,0.0030150413513183594,0.001312
421,0.008773088455200195,0.003574,0.007271766662597656,0.001088
422,0.0010943412780761719,3.2e-05,0.00033664703369140625,6.4e-05
423,0.010158300399780273,0.002872,0.0006554126739501953,0.0
424,0.012340307235717773,0.002872,0.00030303001403808594,0.0
425,0.009987354278564453,0.002872,0.0006725788116455078,0.0
426,0.012189865112304688,0.003482,0.002859354019165039,0.000896
427,0.008791685104370117,0.003088,0.002851724624633789,0.000832
428,0.006989955902099609,0.003024,0.0027768611907958984,0.000832
429,0.010033130645751953,0.002872,0.0004954338073730469,0.0
430,0.011644601821899414,0.003217,0.0005052089691162109,0.0
431,0.006655216217041016,0.002656,0.0026311874389648438,0.00064
432,0.00783538818359375,0.003272,0.002845287322998047,0.000704
433,0.0022683143615722656,6.4e-05,0.0008013248443603516,9.6e-05
