Iteration,IDS Time (seconds),IDS Memory (MB),BBFS Time (seconds),BBFS Memory (MB)
1,4.5299530029296875e-06,0.0,1.8596649169921875e-05,3.2e-05
2,1.6689300537109375e-06,0.0,0.06248307228088379,0.0
3,1.4543533325195312e-05,0.0,0.04609966278076172,6.4e-05
4,2.3126602172851562e-05,0.0,0.04539322853088379,0.003228
5,1.0967254638671875e-05,0.0,0.04529857635498047,0.0
6,1.0013580322265625e-05,0.0,0.045476675033569336,6.4e-05
7,9.298324584960938e-06,0.0,0.04636740684509277,0.005586
8,9.5367431640625e-06,0.0,0.04369354248046875,0.0
9,1.049041748046875e-05,0.0,0.04675745964050293,6.4e-05
10,8.344650268554688e-06,0.0,0.04151773452758789,0.005678
11,1.1444091796875e-05,0.0,0.04389691352844238,0.00024
12,1.2159347534179688e-05,0.0,0.041852712631225586,0.000192
13,1.1682510375976562e-05,0.0,0.04282569885253906,0.001499
14,1.1682510375976562e-05,0.0,0.04138922691345215,6.4e-05
15,9.059906005859375e-06,0.0,0.0391240119934082,6.4e-05
16,9.5367431640625e-06,0.0,0.03941178321838379,0.003228
17,1.0967254638671875e-05,0.0,0.04250144958496094,0.0
18,1.1205673217773438e-05,0.0,0.04027533531188965,6.4e-05
19,8.821487426757812e-06,0.0,0.043057918548583984,0.005589
20,1.2636184692382812e-05,0.0,0.04436302185058594,0.0
21,9.298324584960938e-06,0.0,0.041684627532958984,6.4e-05
22,8.58306884765625e-06,0.0,0.0417637825012207,0.005682
23,1.4543533325195312e-05,0.0,0.05112171173095703,0.00024
24,1.1920928955078125e-05,0.0,0.04573249816894531,0.0
25,1.049041748046875e-05,0.0,0.04281353950500488,6.4e-05
26,8.344650268554688e-06,0.0,0.04444599151611328,0.00592
27,1.1205673217773438e-05,0.0,0.04495429992675781,0.001106
28,1.1682510375976562e-05,0.0,0.04349064826965332,6.4e-05
29,1.0013580322265625e-05,0.0,0.04274272918701172,6.4e-05
30,9.5367431640625e-06,0.0,0.04572486877441406,0.001922
31,1.2874603271484375e-05,0.0,0.04757881164550781,6.4e-05
32,1.049041748046875e-05,0.0,0.04477500915527344,6.4e-05
33,1.1205673217773438e-05,0.0,0.04495954513549805,0.001499
34,1.2159347534179688e-05,0.0,0.0452730655670166,6.4e-05
35,7.3909759521484375e-06,0.0,0.04350423812866211,6.4e-05
36,9.059906005859375e-06,0.0,0.04603147506713867,0.00024
37,3.0517578125e-05,3.2e-05,1.239776611328125e-05,3.2e-05
38,0.000278472900390625,3.2e-05,9.679794311523438e-05,6.4e-05
39,0.001519918441772461,0.000192,0.0003020763397216797,0.001145
40,0.0005705356597900391,3.2e-05,0.0003027915954589844,6.4e-05
41,0.0008311271667480469,6.4e-05,0.0002872943878173828,9.6e-05
42,9.942054748535156e-05,3.2e-05,6.604194641113281e-05,3.2e-05
